Area,MonthsCode,Months,Element Code,Element,Unit,Y1961,Y1962,Y1963,Y1964,Y1965,Y1966,Y1967,Y1968,Y1969,Y1970,Y1971,Y1972,Y1973,Y1974,Y1975,Y1976,Y1977,Y1978,Y1979,Y1980,Y1981,Y1982,Y1983,Y1984,Y1985,Y1986,Y1987,Y1988,Y1989,Y1990,Y1991,Y1992,Y1993,Y1994,Y1995,Y1996,Y1997,Y1998,Y1999,Y2000,Y2001,Y2002,Y2003,Y2004,Y2005,Y2006,Y2007,Y2008,Y2009,Y2010,Y2011,Y2012,Y2013,Y2014,Y2015,Y2016,Y2017,Y2018,Y2019
"7001","January","7271","Temperature change","�C","0.943000","-0.771000","-1.170000","0.901000","0.747000","-1.654000","1.635000","-0.081000","-0.487000","-1.646000","-1.209000","-0.216000","-0.504000","0.538000","0.798000","0.146000","-1.311000","-0.435000","-2.283000","0.542000","2.946000","-1.677000","1.420000","-0.066000","0.274000","2.620000","1.545000","-0.157000","0.805000","2.814000","0.228000","2.205000","0.615000","0.355000","1.817000","-0.293000","0.038000","2.286000","1.365000","1.524000","2.046000","2.790000","2.166000","0.104000","2.161000","3.539000","1.164000","0.206000","0.418000","0.512000","0.616000","1.548000","2.060000","1.913000","2.033000","2.675000","2.128000","1.600000","1.866000"
"7002","February","7271","Temperature change","�C","1.215000","1.425000","0.577000","-1.032000","-1.287000","-0.969000","-0.367000","-0.567000","-0.438000","1.474000","-0.509000","-0.613000","0.080000","-0.656000","-0.627000","1.741000","2.045000","-1.935000","-3.498000","0.438000","1.794000","-0.273000","1.738000","0.640000","-1.571000","1.547000","1.962000","0.422000","-0.801000","-0.089000","2.693000","2.237000","-0.441000","-0.786000","1.922000","0.860000","2.040000","2.763000","1.779000","3.732000","1.181000","1.593000","0.660000","0.485000","2.170000","1.246000","-0.414000","0.161000","1.349000","-0.215000","-0.048000","2.438000","0.662000","-0.347000","0.389000","3.788000","3.528000","1.765000","0.375000"
"7003","March","7271","Temperature change","�C","0.656000","-1.082000","1.400000","-1.379000","-1.034000","0.214000","1.739000","1.691000","-1.689000","-0.264000","-1.255000","0.395000","1.516000","1.451000","-0.774000","0.692000","0.733000","0.607000","1.057000","0.044000","2.061000","0.881000","1.127000","0.488000","1.464000","2.160000","1.133000","1.068000","0.943000","2.284000","1.302000","1.920000","1.037000","1.486000","0.825000","-0.035000","1.523000","1.267000","0.736000","3.023000","0.491000","0.063000","1.203000","2.903000","1.441000","0.611000","2.007000","0.678000","0.678000","1.211000","1.251000","3.688000","0.162000","0.220000","2.532000","3.778000","1.844000","1.632000","1.404000"
"7004","April","7271","Temperature change","�C","-1.210000","0.409000","0.399000","-0.197000","0.612000","-0.595000","0.400000","-0.217000","1.149000","-0.656000","-0.706000","-0.788000","-0.767000","0.346000","-2.023000","0.408000","0.963000","0.653000","0.004000","0.585000","2.029000","-1.285000","-1.265000","-0.796000","0.480000","0.331000","1.070000","0.585000","1.390000","1.387000","1.140000","0.673000","0.256000","0.999000","0.016000","-0.034000","-0.836000","0.865000","0.366000","0.851000","1.210000","1.066000","0.877000","1.305000","0.744000","1.696000","0.459000","-0.132000","0.119000","1.414000","0.546000","2.043000","-1.015000","0.760000","1.535000","1.998000","1.978000","-0.414000","1.411000"
"7005","May","7271","Temperature change","�C","-0.348000","0.671000","0.503000","0.023000","-0.127000","-0.389000","-1.053000","-0.817000","0.764000","0.461000","-1.164000","0.051000","-0.427000","0.201000","0.092000","-0.625000","0.597000","0.048000","-0.086000","0.302000","0.073000","0.100000","-0.797000","-0.118000","0.687000","0.369000","1.293000","0.709000","0.179000","-0.047000","1.183000","0.093000","0.749000","0.440000","-0.101000","0.684000","0.057000","1.230000","-0.062000","1.110000","0.721000","-0.024000","0.503000","1.328000","0.308000","1.152000","1.088000","-0.181000","0.943000","0.323000","-0.124000","1.414000","0.141000","0.919000","1.044000","0.787000","0.521000","2.538000","0.307000"
"7006","June","7271","Temperature change","�C","0.339000","-0.306000","-0.165000","-0.158000","-0.980000","-0.122000","-0.200000","-0.018000","-0.440000","0.037000","0.456000","-0.270000","0.165000","-0.118000","-0.563000","-0.331000","0.878000","0.076000","-0.236000","0.145000","0.698000","-0.875000","-0.409000","0.304000","-0.345000","0.920000","0.829000","1.157000","0.002000","1.020000","0.551000","-0.260000","-0.240000","1.166000","-0.236000","0.724000","0.300000","0.056000","0.125000","0.493000","0.559000","1.166000","0.077000","0.455000","0.710000","1.051000","0.859000","0.555000","0.149000","1.001000","0.709000","1.057000","1.369000","0.444000","1.632000","1.773000","1.100000","1.480000","0.677000"
"7007","July","7271","Temperature change","�C","-0.313000","-0.515000","-0.089000","0.363000","-0.622000","0.562000","-0.510000","-0.062000","0.080000","0.020000","-0.571000","-0.376000","-0.276000","0.156000","0.007000","-0.331000","0.532000","0.188000","-0.032000","0.977000","0.088000","-0.124000","0.322000","-0.183000","0.262000","0.094000","0.040000","0.735000","0.513000","0.167000","0.136000","-0.819000","-0.149000","0.209000","0.157000","0.139000","0.144000","1.072000","0.391000","0.030000","0.312000","1.078000","0.916000","0.180000","0.933000","1.296000","0.764000","0.092000","-0.056000","0.501000","1.089000","1.335000","0.536000","-0.118000","0.371000","1.078000","1.259000","1.159000","1.045000"
"7008","August","7271","Temperature change","�C","0.190000","0.203000","-0.072000","-0.645000","-0.576000","-0.618000","-0.246000","-0.374000","0.094000","0.454000","-0.113000","0.071000","0.084000","-0.492000","-0.227000","-0.415000","0.414000","0.179000","-0.097000","0.257000","0.008000","0.023000","1.202000","0.423000","-0.424000","-0.261000","0.158000","0.770000","0.055000","0.432000","0.384000","-0.907000","0.090000","0.313000","1.054000","0.034000","0.209000","0.763000","0.543000","0.692000","1.110000","0.394000","1.267000","-0.215000","0.869000","0.510000","1.541000","0.016000","-0.041000","1.127000","1.292000","0.870000","0.631000","0.370000","0.445000","1.093000","0.100000","0.738000","1.018000"
"7009","September","7271","Temperature change","�C","-0.467000","-0.511000","0.814000","-0.411000","-1.037000","-0.005000","-0.287000","-0.538000","0.479000","-0.430000","-0.216000","-0.310000","-0.092000","-0.731000","-0.954000","-0.154000","0.708000","0.693000","0.807000","0.486000","-0.087000","-0.191000","0.065000","-0.515000","-0.885000","-0.294000","0.103000","-0.106000","0.059000","1.096000","0.329000","-0.835000","-0.635000","0.286000","0.532000","-0.800000","1.164000","1.959000","-0.008000","0.195000","0.582000","1.180000","0.021000","0.185000","1.425000","-0.243000","1.068000","0.311000","0.838000","1.055000","0.830000","0.695000","0.882000","0.827000","1.561000","1.295000","0.918000","1.638000","2.021000"
"7010","October","7271","Temperature change","�C","-0.405000","1.076000","2.218000","0.018000","-0.226000","-0.760000","-0.174000","0.107000","-0.709000","-1.316000","0.371000","-0.602000","0.781000","-0.441000","0.099000","-1.853000","0.065000","0.023000","1.038000","-0.368000","-0.643000","-0.867000","0.130000","-0.097000","-0.265000","0.068000","-0.057000","-0.518000","0.181000","-0.121000","0.409000","-0.278000","-0.070000","-0.170000","0.366000","-0.957000","-0.517000","0.682000","0.061000","0.366000","-0.245000","-0.342000","1.643000","0.930000","0.750000","-0.052000","1.196000","-0.599000","-1.040000","1.085000","0.716000","-0.022000","0.565000","1.297000","1.950000","2.036000","1.230000","0.670000","-0.269000"
